 AX   BX   CX   DX   SP   BP   SI   DI  FLAGS IP
0004 0008 ffe6 ffca ffa0 ffbc 0000 14e5 -S-- 0120:b80100       mov ax, 0001
0001 0008 ffe6 ffca ffa0 ffbc 0000 14e5 -S-- 0123:50           push ax
0001 0008 ffe6 ffca ff9e ffbc 0000 14e5 -S-- 0124:e80600       call 012d
0001 0008 ffe6 ffca ff9c ffbc 0000 14e5 -S-- 012d:55           push bp
0001 0008 ffe6 ffca ff9a ffbc 0000 14e5 -S-- 012e:89e5         mov bp, sp
0001 0008 ffe6 ffca ff9a ff9a 0000 14e5 -S-- 0130:56           push si
0001 0008 ffe6 ffca ff98 ff9a 0000 14e5 -S-- 0131:57           push di
0001 0008 ffe6 ffca ff96 ff9a 0000 14e5 -S-- 0132:8b7608       mov si, [bp+8] ;[ffa2]ffa4
0001 0008 ffe6 ffca ff96 ff9a ffa4 14e5 -S-- 0135:8b5606       mov dx, [bp+6] ;[ffa0]0004
0001 0008 ffe6 0004 ff96 ff9a ffa4 14e5 -S-- 0138:895402       mov [si+2], dx ;[ffa6]0000
0001 0008 ffe6 0004 ff96 ff9a ffa4 14e5 -S-- 013b:56           push si
0001 0008 ffe6 0004 ff94 ff9a ffa4 14e5 -S-- 013c:ff7604       push [bp+4] ;[ff9e]0001
0001 0008 ffe6 0004 ff92 ff9a ffa4 14e5 -S-- 013f:e82f00       call 0171
0001 0008 ffe6 0004 ff90 ff9a ffa4 14e5 -S-- 0171:b90300       mov cx, 0003
0001 0008 0003 0004 ff90 ff9a ffa4 14e5 -S-- 0174:eb00         jmp short 0176
0001 0008 0003 0004 ff90 ff9a ffa4 14e5 -S-- 0176:55           push bp
0001 0008 0003 0004 ff8e ff9a ffa4 14e5 -S-- 0177:89e5         mov bp, sp
0001 0008 0003 0004 ff8e ff8e ffa4 14e5 -S-- 0179:8b4604       mov ax, [bp+4] ;[ff92]0001
0001 0008 0003 0004 ff8e ff8e ffa4 14e5 -S-- 017c:8b5e06       mov bx, [bp+6] ;[ff94]ffa4
0001 ffa4 0003 0004 ff8e ff8e ffa4 14e5 -S-- 017f:cd20         int 20
<write(1, 0xffca, 1)0 => 1>
0000 ffa4 0003 0004 ff8e ff8e ffa4 14e5 -S-- 0181:5d           pop bp
0000 ffa4 0003 0004 ff90 ff9a ffa4 14e5 -S-- 0182:c3           ret
0000 ffa4 0003 0004 ff92 ff9a ffa4 14e5 -S-- 0142:5b           pop bx
0000 0001 0003 0004 ff94 ff9a ffa4 14e5 -S-- 0143:5b           pop bx
0000 ffa4 0003 0004 ff96 ff9a ffa4 14e5 -S-- 0144:89c7         mov di, ax
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 -S-- 0146:09ff         or di, di
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 --Z- 0148:7403         je 014d
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 --Z- 014d:837c0200     cmp [si+2], 0 ;[ffa6]0001
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 ---- 0151:7d0e         jnl 0161
0000 ffa4 0003 0004 ff96 ff9a ffa4 0000 ---- 0161:8b4402       mov ax, [si+2] ;[ffa6]0001
0001 ffa4 0003 0004 ff96 ff9a ffa4 0000 ---- 0164:e91c00       jmp 0183
0001 ffa4 0003 0004 ff96 ff9a ffa4 0000 ---- 0183:5f           pop di
0001 ffa4 0003 0004 ff98 ff9a ffa4 14e5 ---- 0184:5e           pop si
0001 ffa4 0003 0004 ff9a ff9a 0000 14e5 ---- 0185:89ec         mov sp, bp
0001 ffa4 0003 0004 ff9a ff9a 0000 14e5 ---- 0187:5d           pop bp
0001 ffa4 0003 0004 ff9c ffbc 0000 14e5 ---- 0188:c3           ret
0001 ffa4 0003 0004 ff9e ffbc 0000 14e5 ---- 0127:83c406       add sp, 6
0001 ffa4 0003 0004 ffa4 ffbc 0000 14e5 -S-- 012a:e95800       jmp 0185
0001 ffa4 0003 0004 ffa4 ffbc 0000 14e5 -S-- 0185:89ec         mov sp, bp
0001 ffa4 0003 0004 ffbc ffbc 0000 14e5 -S-- 0187:5d           pop bp
0001 ffa4 0003 0004 ffbe ffc6 0000 14e5 -S-- 0188:c3           ret
0001 ffa4 0003 0004 ffc0 ffc6 0000 14e5 -S-- 0097:83c406       add sp, 6
0001 ffa4 0003 0004 ffc6 ffc6 0000 14e5 -S-- 009a:8a4604       mov al, [bp+4] ;[ffca]30
0030 ffa4 0003 0004 ffc6 ffc6 0000 14e5 -S-- 009d:98           cbw
0030 ffa4 0003 0004 ffc6 ffc6 0000 14e5 -S-- 009e:e9e400       jmp 0185
0030 ffa4 0003 0004 ffc6 ffc6 0000 14e5 -S-- 0185:89ec         mov sp, bp
0030 ffa4 0003 0004 ffc6 ffc6 0000 14e5 -S-- 0187:5d           pop bp
0030 ffa4 0003 0004 ffc8 ffd0 0000 14e5 -S-- 0188:c3           ret
0030 ffa4 0003 0004 ffca ffd0 0000 14e5 -S-- 005f:5b           pop bx
0030 0030 0003 0004 ffcc ffd0 0000 14e5 -S-- 0060:31f6         xor si, si
0030 0030 0003 0004 ffcc ffd0 0000 14e5 --Z- 0062:83fe05       cmp si, 5
0030 0030 0003 0004 ffcc ffd0 0000 14e5 -S-C 0065:7d1b         jnl 0082
0030 0030 0003 0004 ffcc ffd0 0000 14e5 -S-C 0067:b90c00       mov cx, 000c
0030 0030 000c 0004 ffcc ffd0 0000 14e5 -S-C 006a:89fa         mov dx, di
0030 0030 000c 14e5 ffcc ffd0 0000 14e5 -S-C 006c:d3fa         sar dx, cl
0030 0030 000c 0001 ffcc ffd0 0000 14e5 ---- 006e:81e20700     and dx, 0007
0030 0030 000c 0001 ffcc ffd0 0000 14e5 ---- 0072:83c230       add dx, 30
0030 0030 000c 0031 ffcc ffd0 0000 14e5 ---- 0075:52           push dx
0030 0030 000c 0031 ffca ffd0 0000 14e5 ---- 0076:e80c00       call 0085
0030 0030 000c 0031 ffc8 ffd0 0000 14e5 ---- 0085:55           push bp
0030 0030 000c 0031 ffc6 ffd0 0000 14e5 ---- 0086:89e5         mov bp, sp
0030 0030 000c 0031 ffc6 ffc6 0000 14e5 ---- 0088:b80100       mov ax, 0001
0001 0030 000c 0031 ffc6 ffc6 0000 14e5 ---- 008b:50           push ax
0001 0030 000c 0031 ffc4 ffc6 0000 14e5 ---- 008c:8d4604       lea ax, [bp+4] ;[ffca]0031
ffca 0030 000c 0031 ffc4 ffc6 0000 14e5 ---- 008f:50           push ax
ffca 0030 000c 0031 ffc2 ffc6 0000 14e5 ---- 0090:b80100       mov ax, 0001
0001 0030 000c 0031 ffc2 ffc6 0000 14e5 ---- 0093:50           push ax
0001 0030 000c 0031 ffc0 ffc6 0000 14e5 ---- 0094:e84500       call 00dc
0001 0030 000c 0031 ffbe ffc6 0000 14e5 ---- 00dc:e92100       jmp 0100
0001 0030 000c 0031 ffbe ffc6 0000 14e5 ---- 0100:55           push bp
0001 0030 000c 0031 ffbc ffc6 0000 14e5 ---- 0101:89e5         mov bp, sp
0001 0030 000c 0031 ffbc ffbc 0000 14e5 ---- 0103:83ec18       sub sp, 18
0001 0030 000c 0031 ffa4 ffbc 0000 14e5 -S-- 0106:8b5604       mov dx, [bp+4] ;[ffc0]0001
0001 0030 000c 0001 ffa4 ffbc 0000 14e5 -S-- 0109:8956ec       mov [bp-14], dx ;[ffa8]0001
0001 0030 000c 0001 ffa4 ffbc 0000 14e5 -S-- 010c:8b5608       mov dx, [bp+8] ;[ffc4]0001
0001 0030 000c 0001 ffa4 ffbc 0000 14e5 -S-- 010f:8956ee       mov [bp-12], dx ;[ffaa]0001
